<355.727, 477.277>
<345.043, 506.382>
<317.062, 500.134>
<328.038, 470.711>

<340.650, 518.400>
<329.145, 547.217>
<301.204, 541.039>
<312.127, 511.836>

<324.782, 558.088>
<314.229, 586.962>
<286.104, 581.632>
<296.250, 552.838>

<393.000, 487.000>
<381.909, 515.902>
<355.000, 509.708>
<366.134, 480.756>

<377.000, 526.786>
<366.370, 555.000>
<339.912, 549.770>
<350.399, 521.017>

<361.685, 566.000>
<350.995, 594.339>
<324.000, 589.220>
<334.412, 561.000>
