<771.000, 495.092>
<761.000, 517.000>
<743.000, 513.000>
<753.687, 491.000>
<757.000, 526.741>
<746.846, 548.154>
<729.000, 544.306>
<739.000, 522.000>
<742.000, 557.000>
<732.610, 580.000>
<715.000, 575.000>
<725.201, 553.000>
<795.000, 502.000>
<784.204, 524.000>
<767.000, 519.095>
<778.000, 497.000>
<780.457, 532.866>
<770.071, 554.929>
<753.000, 551.000>
<763.000, 528.266>
<766.000, 563.000>
<755.209, 584.791>
<739.000, 581.000>
<749.000, 559.000>
