<89.030, 410.019>
<78.274, 441.726>
<45.331, 434.968>
<55.990, 401.390>
<73.340, 455.194>
<62.886, 487.156>
<29.875, 481.000>
<40.780, 447.676>
<57.487, 500.462>
<48.652, 531.845>
<14.313, 525.864>
<25.067, 493.782>
<134.000, 420.011>
<122.500, 452.212>
<91.071, 445.208>
<101.791, 412.815>
<118.000, 464.982>
<106.722, 496.067>
<75.439, 490.288>
<86.340, 458.287>
<102.015, 508.913>
<91.176, 539.581>
<59.877, 534.032>
<71.132, 502.811>
